survey number,all narratives,archetype,optimism_str,optimism_int,id,unique_id,expqual-field,expqual-field_notes,expqual-field_years,expqual-step_familiar,expqual-market_familiar,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-influential_param,resp-policy1,resp-policy2,resp-policy3,resp-confidence,resp-additional_info
29,"MP-vo, SB-sp, WC-p",mp,vo,6,mp6,29mp6,Government and public works,0,15 to 19,Very unfamiliar,Familiar,somewhat likely,neutral,somewhat unlikely,very unlikely,unlikely,more likely to be demolished and rebuilt,likely,"If this house were outside of Vancouver it would be unlikely that it would be carbon free once rebuilt, but given the city of Vancouver is more stringent policies around GHG intensity I expect it could be carbon free. If these people downsize and sell a new owner would likely demolish the house the small when there is the potential to build more square footage on the same lot.","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
29,"MP-vo, SB-sp, WC-p",sb,sp,3,sb3,29sb3,Government and public works,0,15 to 19,Very unfamiliar,Familiar,unlikely,somewhat unlikely,very unlikely,very unlikely,somewhat unlikely,more likely to be demolished and rebuilt,unlikely,Even relatively new homes like this often end up getting demolished when their owners sell.,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
29,"MP-vo, SB-sp, WC-p",wc,p,2,wc2,29wc2,Government and public works,0,15 to 19,Very unfamiliar,Familiar,very likely,somewhat unlikely,very unlikely,very unlikely,neutral,"neither (the building will exist, but will not achieve step code 5 by 2050)",very likely,Assuming the electricity grid continues to move towards zero carbon this home will already be there by 2050 given its electrical HVAC systems. It is unlikely to be redeveloped by 2050 and given the architecture and already efficient systems it would be difficult to bump it up the step code scale especially to the highest levels.,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",an education campaign for owners and practitioners on potential savings and best practices,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,no response
28,"VS-vp, SB-so, WC-sp",vs,vp,1,vs1,28vs1,"Architecture, planning, and environmental design",0,25 or more,Very familiar,Familiar,unlikely,very unlikely,very unlikely,very unlikely,unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very unlikely,knowledge of Vancouver special construction; knowledge of effort & cost required to achieve a high performance retrofit,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",an education campaign for owners and practitioners on potential savings and best practices,innovative financing mechanisms such as attaching loans to meter savings,high confidence,"the driving force is not likely the energy savings - need to make it fashionable to upgrade - i.e. lifestyle imagery to make it socially valuable to upgrade incorporating the technical/performance features.
we need to recognize that upgrades can only be mandated at time that some more significant work is done - it's not possible to mandate work be done just for the sake of making energy upgrades - and then, the cost of retrofits can be daunting for homeowners who are generally more interested in the cosmetic and comfort issues than simply performance issues."
28,"VS-vp, SB-so, WC-sp",sb,so,4,sb4,28sb4,"Architecture, planning, and environmental design",0,25 or more,Very familiar,Familiar,unlikely,somewhat unlikely,very unlikely,very unlikely,neutral,"neither (the building will exist, but will not achieve step code 5 by 2050)",very unlikely,construction specs are at or even below minimum code requirements at time of construction,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",an education campaign for owners and practitioners on potential savings and best practices,innovative financing mechanisms such as attaching loans to meter savings,high confidence,"this is a newer house, well maintained, so the cost of retrofits to high step code level would be daunting - it would require high cost and virtually a whole house make-over - not likely to happen with this couple, given condition of house. 
Achieving a high step code level would more likely happen if the house were completely re-built."
28,"VS-vp, SB-so, WC-sp",wc,sp,3,wc3,28wc3,"Architecture, planning, and environmental design",0,25 or more,Very familiar,Familiar,very likely,unlikely,very unlikely,very unlikely,very unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very unlikely,new house already built to current standards - will not need upgrades for a long time,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,this type of house is not likely to get much work done to it for at least 25 years or so - not a candidate for much in the way renovations other than cosmetic interior decoration.
27,"VS-p, SB-o, WC-so",vs,p,2,vs2,27vs2,Other,0,25 or more,Familiar,Slightly familiar,very unlikely,very unlikely,very unlikely,very unlikely,unlikely,more likely to be demolished and rebuilt,very likely,I believe the owners will grow weary of trying to retrofit this house with their limited budget to do so and will eventually sell it to someone who will rebuild on this lot.,an education campaign for owners and practitioners on potential savings and best practices,conventional financing mechanism such as grants or tax abatements,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,no response
27,"VS-p, SB-o, WC-so",sb,o,5,sb5,27sb5,Other,0,25 or more,Familiar,Slightly familiar,likely,likely,unlikely,very unlikely,likely,more likely to be demolished and rebuilt,very likely,"In 2050, their children will be 36 and 38 years old, and likely not living at home. The owners will have sold the house, looking to downsize. A new buyer will likely rebuild on this city lot with a more energy efficient home.",an education campaign for owners and practitioners on potential savings and best practices,conventional financing mechanism such as grants or tax abatements,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
27,"VS-p, SB-o, WC-so",wc,so,4,wc4,27wc4,Other,0,25 or more,Familiar,Slightly familiar,very likely,unlikely,somewhat unlikely,very unlikely,very unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",somewhat unlikely,"It sounds like the owner couple is not interested in upgrading anything on their home for many years, so it seems unlikely that they'll get to a carbon free state in 31 years.",an education campaign for owners and practitioners on potential savings and best practices,conventional financing mechanism such as grants or tax abatements,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,no response
24,"VS-o, MP-p, GWH-vp",vs,o,5,vs5,24vs5,Engineering and computer science,0,15 to 19,Very familiar,Familiar,somewhat likely,likely,unlikely,very unlikely,somewhat unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",unlikely,Understanding of the Vancouver housing market,an education campaign for owners and practitioners on potential savings and best practices,conventional financing mechanism such as grants or tax abatements,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,"Sounds like my own family/ life situation (though not in Vancouver) so I feel they would act in a manner similar to my own preferences.

Ultimately, I think this family would be interested in upgrades, but also values the savings that a suite would bring. So I think they would invest there first, upgrade to efficient appliances when replacing them (given the payback is reasonable, maybe 10-15 years or less) and then use the additional funds from the rental income for any further energy improvements."
24,"VS-o, MP-p, GWH-vp",mp,p,2,mp2,24mp2,Engineering and computer science,0,15 to 19,Very familiar,Familiar,somewhat unlikely,very unlikely,very unlikely,very unlikely,very unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very unlikely,"Understanding of the Vancouver market (I would have said ""demolished and rebuilt"" if it were in Vancouver, as I'm assuming the owners will sell before 2035 and move to a condo, but in N Van there are fewer land assemblies so I'm assuming it will be bought by a young family who will reno the inside only).","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",conventional financing mechanism such as grants or tax abatements,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,"I'm fairly certain this home will be sold before 2035 so that the retired couple can move into a smaller home and save on monthly maintenance, plus pay lower utilities, etc. So that's why I chose the benchmarking as a useful tool as I'm imagining it occurring during the buy/sell process. I also would hope that the new owners would have to follow a retrofit code for any upgrades they undertake."
24,"VS-o, MP-p, GWH-vp",gwh,vp,1,gwh1,24gwh1,Engineering and computer science,0,15 to 19,Very familiar,Familiar,somewhat unlikely,very unlikely,very unlikely,very unlikely,very unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very unlikely,Difficult to retrofit to high energy efficiency- would require full cladding update that may be difficult when maintaining character on such a home (I'm assuming that would be required),"an energy disclosure mandate with a benchmarking, audit, and labeling protocol","the implementation of a retrofit code for energy, emissions, and safety upgrades",innovative financing mechanisms such as attaching loans to meter savings,medium confidence,"It sounds like this building will likely be sold in the timeframe. The current owner would have zero interest in upgrading. The new owners might, but unless there is a mandated retrofit code, there is no guarantee. The discussion didn't mention heritage requirements, but there may be some given the age and character of the house, that would result in additional costs to upgrade."
23,"VS-vo, MP-sp, GWH-p",vs,vo,6,vs6,23vs6,Government and public works,0,less than 5,Very familiar,Unfamiliar,neutral,unlikely,very unlikely,very unlikely,neutral,"neither (the building will exist, but will not achieve step code 5 by 2050)",likely,stated equipment and envelope replacement timelines; knowledge of City of Vancouver's zero-emission thermal equipment requirements by 2025; lack of active cooling and rising temperatures; possible addition of EUI load in adding a rental suite;,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",the creation of an integrated public retrofit servicing agency,the creation of an integrated public retrofit servicing agency,low confidence,"Also considered ""Innovative financing mechanisms..."" policy instrument, but decided this was less likely to be as valued by this couple given the desire to fund upgrades through personal savings."
23,"VS-vo, MP-sp, GWH-p",mp,sp,3,mp3,23mp3,Government and public works,0,less than 5,Very familiar,Unfamiliar,somewhat unlikely,very unlikely,very unlikely,very unlikely,very unlikely,more likely to be demolished and rebuilt,very likely,"not financially-inclined/able to invest in EE or GHG reductions; timing of equipment replacements does not line up, so unlikely to shift to a central heat pump system if looking to add cooling (particularly if before 2025, which seems likely); age of building, presence of asbestos, and more difficult/costly to retrofit thermal equipment setup","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",innovative financing mechanisms such as attaching loans to meter savings,the creation of an integrated public retrofit servicing agency,low confidence,no response
23,"VS-vo, MP-sp, GWH-p",gwh,p,2,gwh2,23gwh2,Government and public works,0,less than 5,Very familiar,Unfamiliar,somewhat unlikely,very unlikely,very unlikely,very unlikely,neutral,"neither (the building will exist, but will not achieve step code 5 by 2050)",somewhat likely,"lack of cooling; likelihood that home will be sold before 2035; desirable character of the home; potential to replace fireplaces with heat pumps, but potential for owner to not want a heat pump to avoid affecting look and feel of the home",aggregation of individual retrofit projects into packages,the creation of an integrated public retrofit servicing agency,"the implementation of a retrofit code for energy, emissions, and safety upgrades",low confidence,no response
22,"MP-so, GWH-sp, WC-vp",mp,so,4,mp4,22mp4,Government and public works,0,less than 5,Familiar,Slightly familiar,likely,unlikely,unlikely,unlikely,somewhat likely,more likely to be demolished and rebuilt,very likely,City of Vancouver's mandate to both densify the City (in the works with our City-wide plan) and aggressively zero emissions-ify our housing stock,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",an education campaign for owners and practitioners on potential savings and best practices,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,"Story specific: the likely outcome for this house is to upgrade their space heating + DHW systems to electric-based equipment after 2025 when this will be a requirement. The contractor will ideally recommend air tightness and envelope improvements to improve comfort and lower bills. 

General information (not story specific) In the City of Vancouver, we have the mandate and regulation authority to set GHG emissions limits / prescriptive equipment use. Rather than energy efficiency (which Step Code supports, meaning fossil fuels are not diminished at nearly the same rate) we are focused on electrifying mechanical equipment and appliances. With supporting focus on improving the envelope to reduce heating / cooling loads.

So while Vancouver homes will likely not hit high levels of the Step Code, they will achieve significant GHG reductions. 

Near term priorities are 1) create support solutions for those with the highest needs (high energy bills + low income) and 2) public education! Get green-minded people asking for these upgrades."
22,"MP-so, GWH-sp, WC-vp",gwh,sp,3,gwh3,22gwh3,Government and public works,0,less than 5,Familiar,Slightly familiar,likely,somewhat unlikely,somewhat unlikely,somewhat unlikely,likely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very likely,"Heritage character, large, unlikely to be demolished.",an education campaign for owners and practitioners on potential savings and best practices,innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,"I foresee a PACE - like property-based financing structure would work well here to facilitate an envelope upgrade paired with a central heating+cooling heat pump system. A 5 head ductless mini-split system could avoid the need for invasive ductwork. The financial benefit from switching from 100% baseboard to 300+% efficient heat pump could provide a quick payback.

A homeowner support tool (online and / or in person) would likely be useful for this couple."
22,"MP-so, GWH-sp, WC-vp",wc,vp,1,wc1,22wc1,Government and public works,0,less than 5,Familiar,Slightly familiar,likely,likely,very unlikely,very unlikely,somewhat likely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very likely,"Home is already all-electric (for space heating + hot water), regulation will eventually require appliances to be electrified as well. But that is far away.","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",the creation of an integrated public retrofit servicing agency,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,This home nearly meets the zero emissions criteria (all electric for space heating + DHW). It is well on its way to be future-proofed for regulation. All that is left is the fireplaces and gas appliances.
22,"MP-so, GWH-sp, WC-vp",mp,so,4,mp4,22mp4,Environment,0,10 to 14,Very familiar,Slightly familiar,likely,somewhat likely,unlikely,very unlikely,neutral,more likely to be demolished and rebuilt,somewhat likely,"Their ability to meet upper steps will depend on whether they opt to install a heat pump as their heating and cooling system when the furnace it out. However, if the whole are surrounding the house is being redeveloped, the likliehood is that the home would experience the same fate as others, where density is favoured and land values reflect that. (Though, I'm not super familiary with the Vancouver context, so it's just informed by the stories I've heard!)",aggregation of individual retrofit projects into packages,"the implementation of a retrofit code for energy, emissions, and safety upgrades",innovative financing mechanisms such as attaching loans to meter savings,medium confidence,no response
22,"MP-so, GWH-sp, WC-vp",gwh,sp,3,gwh3,22gwh3,Environment,0,10 to 14,Very familiar,Slightly familiar,0,0,0,0,0,0,0,0,0,0,0,0,no response
22,"MP-so, GWH-sp, WC-vp",wc,vp,1,wc1,22wc1,Environment,0,10 to 14,Very familiar,Slightly familiar,0,0,0,0,0,0,0,0,0,0,0,0,no response
25,"VS-so, MP-vp, WC-vo",vs,so,4,vs4,25vs4,Engineering and computer science,0,15 to 19,Very familiar,Familiar,likely,very unlikely,very unlikely,very unlikely,likely,more likely to be demolished and rebuilt,unlikely,"The rate of homes that are demolished in the City on an Annual Basis, The most costly part of the home is the land. The occupancts are morel likely to demolish the building and rebuild this sort of home then to retrofit becuase the home is extremly ugly",innovative financing mechanisms such as attaching loans to meter savings,other,innovative financing mechanisms such as attaching loans to meter savings,high confidence,"Don't compare current buildings to a new code like step code that has yet to be proven. 
There are serious health and safety concerns with the Step code approach that are likely to have negative impacts to occupancy health and well being. The baseline for an existing building is the current energy use from the billing data. There is no benefit to comparing it to Step Code that i can see whatsoever. 

it's also impossible, how do you measure the TEDI of an existing building ?"
25,"VS-so, MP-vp, WC-vo",mp,vp,1,mp1,25mp1,Engineering and computer science,0,15 to 19,Very familiar,Familiar,0,0,0,0,0,0,0,0,0,0,0,0,no response
25,"VS-so, MP-vp, WC-vo",wc,vo,6,wc6,25wc6,Engineering and computer science,0,15 to 19,Very familiar,Familiar,0,0,0,0,0,0,0,0,0,0,0,0,no response
19,"VS-vp,GWH-vo, WC-so",vs,vp,1,vs1,19vs1,"Architecture, planning, and environmental design",0,10 to 14,Familiar,Slightly familiar,very likely,somewhat likely,neutral,very unlikely,neutral,more likely to be demolished and rebuilt,very unlikely,"Systems - though upgraded - are still low performance. Owner's age and financial situation makes retrofit less desirable. I selected 'neutral' in response to that question to reflect a possible opportunity to improve envelope performance when upgrading acoustic performance of the rental suite...and because elderly get cold more easily and retrofit would reduce energy bills - a boomer value (I say that partially tongue-in-cheek, but partly serious). Asbestos remediation might also be a driver, if a suspected connection to a decline in their health...though having lived with it for so long, they would be less motivated, than say a family with kids or expecting. (A transition to entry-level supported living might be more viable, but on the other hand, social isolation is a killer and they sound invested in their community, so would likely be motivated to stay in the neighbourhood). Any helper suite retrofit would likely be piecemeal at best...unless incentives offered to make a comprehensive retrofit viable - a notable 'if'. Given their age and Vancouver's steadily growing demographic and rising inflation, demolition and rebuilding is more likely (unless alternatives incentivized). While the new home may be designed to net zero, the significant expenditure in embodied carbon would negatively impact the critical reductions needed between now and 2030 / 2050.",a public financing scheme such as a provincial 'green bank',innovative financing mechanisms such as attaching loans to meter savings,the creation of an integrated public retrofit servicing agency,high confidence,"Not having read this question before responding to the above, I added most of my qualifiers into the previous text response field. As an architect, I would add that while disregarded by many stylistically (for good reason), they can have good bones for modern renovations. That said, these protagonists are very unlikely candidates for such an investment.

Motivation for the three recommended incentive strategies was based on the fact that these protagonists would likely value financial viability and ease of implementation over any others.

Oh, and answers to the 'likeliness of achieving various step code levels by 2035' question reflect responses to subsequent questions about retrofit likelihood. (I had initially filled them out negating these factors, but that would seem to lessen the value of the speculative exercise). A prompt to confirm what you're looking for there would help respondents put any doubts to rest."
19,"VS-vp,GWH-vo, WC-so",gwh,vo,6,gwh6,19gwh6,"Architecture, planning, and environmental design",0,10 to 14,Familiar,Slightly familiar,very likely,very likely,very likely,very likely,very likely,more likely to retrofit to step code 5,very likely,"The protagonists' demographic (being parents with wide age spread and young family), their relative financial comfort (affluence via stability if not number of zeros), their investment in the house (valuing its design and caring enough to maintain it...and even enjoying the DIY aspect), and their desire to stay in a good neighbour as their kids grow, and the many options such a property affords to accommodating shifting living structures as they get old and their kids grow up (i.e. they could subdivide the house for one of their kid's family, and another could live in a new laneway house in the spacious back yard)",a public financing scheme such as a provincial 'green bank',aggregation of individual retrofit projects into packages,conventional financing mechanism such as grants or tax abatements,high confidence,"Given their ecological ethics, and the wife research background (as a journalist) and the husband's interest (and likely growing competence and confidence) in DIY projects, I expect they would already be hip to the need to improve their home's energy performance; and would do their own research to get up to speed on things they needed to do.

Given their financial stability, they are not hand to mouth, so would likely be well-served by a more conventional 'green grant' , 'green loan' mechanism. 

Given the husband's DIY interests, the coupling of retrofits into packages would be a more satisfying (and more effective) way for them to get further faster. The uprooting chaos of a comprehensive retrofit would be daunting thought with 2-3 small kids (and even more so with one in the oven); and an unstructured one-by-one approach could mean they would be in perpetual reno mode - also chaotic and stressful.

The 'best practices' component of the education campaign did give me pause, if this included DIY How-tos. Though again, given the husband's comfort in this space as outlined, I imagine they could figure this out on their own on-line and with the occasional help line chat with a seasoned Home Depot employee."
19,"VS-vp,GWH-vo, WC-so",wc,so,4,wc4,19wc4,"Architecture, planning, and environmental design",0,10 to 14,Familiar,Slightly familiar,very likely,very likely,somewhat likely,somewhat likely,neutral,more likely to retrofit to step code 5,somewhat likely,"Given the description, I envision any renovations being dependent on incentives (and / or combination of incentives and social competition / shaming). The stepped responses in 'likeliness' reflect suspected CBA evaluation thresholds. Given air leakage, I could imagine them springing for an airtightness retrofit as the most economical option if they could do only one thing. If incentives compelling enough (and / or social shaming great enough) I imagine this would motivate greater retrofit investments. And that, if they were doing it, I imagine the would see the value in doing this all at once - because this is cheaper in the long run (as any Civil Engineer would know). ...and no one wants their mother-in-law nagging about the renos not being done yet, or about the shame they are forced to suffer because theirs is the worst performing house of anyone in her bridge club.","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",conventional financing mechanism such as grants or tax abatements,innovative financing mechanisms such as attaching loans to meter savings,high confidence,"Given their financial affluence and their most likely retrofit motivators being incentives and social status, conventional financing mechanisms and mandated public disclosure seem the most likely triggers.

I could imagine attaching loans to meter savings being an added bonus (perhaps more psychological than fiscal) for the civil engineer husband as performance analytics teachable-moments with his son. 

Anecdotal aside supporting the latter: 
M father is a PEng. Though not motivated by eco-social ethics (at least not until my daughter turned three and started scolding him for not), after he got his Nest thermostat, he became a highly competitive energy conservation ambassador. (Literally emailing us his Nest reports and letting us know how much he 'beat' his neighbour Joe by)."
18,"VS-p, SB-vp, WC-o",vs,p,2,vs2,18vs2,Education,0,10 to 14,Very familiar,Familiar,likely,neutral,very unlikely,very unlikely,likely,more likely to be demolished and rebuilt,somewhat likely,"If it is torn down, like that CoV will have net-zero carbon requirements in place by then.",aggregation of individual retrofit projects into packages,innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
18,"VS-p, SB-vp, WC-o",sb,vp,1,sb1,18sb1,Education,0,10 to 14,Very familiar,Familiar,likely,neutral,very unlikely,very unlikely,likely,"neither (the building will exist, but will not achieve step code 5 by 2050)",somewhat likely,"By the time the furnace needs updated, it is likely that CoV will encourage/mandate heat pumps...",aggregation of individual retrofit projects into packages,innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
