survey number,all narratives,archetype,optimism_str,optimism_int,id,unique_id,expqual-field,expqual-field_notes,expqual-field_years,expqual-step_familiar,expqual-market_familiar,resp-likert_step2,resp-likert_step3,resp-likert_step4,resp-likert_step5,resp-likert_higheff,resp-retrofit_teardown_neither,resp-likert_carbon2050,resp-influential_param,resp-policy1,resp-policy2,resp-policy3,resp-confidence,resp-additional_info
18,"VS-p, SB-vp, WC-o",wc,o,5,wc5,18wc5,Education,0,10 to 14,Very familiar,Familiar,very likely,neutral,somewhat unlikely,very unlikely,unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very likely,Already is all electric...,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
17,"VS-sp, SB-p,WC-vo",vs,sp,3,vs3,17vs3,Engineering and computer science,0,10 to 14,Very familiar,Familiar,likely,likely,unlikely,very unlikely,unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",likely,"No motivators for renewing the house for this particular user identity, I don't see drivers for them to sell and leave either.","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",a public financing scheme such as a provincial 'green bank',"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,It appears as though their is no major driver for this particular type of owner. It is my opinion that only larger forces (like a public narrative that made you a pariah if you didn't retrofit your home or regulation) would drive this kind of homeowner.
17,"VS-sp, SB-p,WC-vo",sb,p,2,sb2,17sb2,Engineering and computer science,0,10 to 14,Very familiar,Familiar,very likely,likely,unlikely,very unlikely,likely,more likely to be demolished and rebuilt,likely,"They will age out of the home before 2050 and it will be torn down and rebuilt to code, which will be carbon free by that time.","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",the creation of an integrated public retrofit servicing agency,incentivise retofits with suite/adu densification,medium confidence,no response
17,"VS-sp, SB-p,WC-vo",wc,vo,6,wc6,17wc6,Engineering and computer science,0,10 to 14,Very familiar,Familiar,very likely,neutral,somewhat unlikely,somewhat unlikely,somewhat unlikely,more likely to retrofit to step code 5,likely,"A renovation in this type of area and income class is likely for non-energy reasons, opening door for retrofit.","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",an education campaign for owners and practitioners on potential savings and best practices,the creation of an integrated public retrofit servicing agency,medium confidence,no response
16,"VS-so,SB-sp, GWH-vp",vs,so,4,vs4,16vs4,Other,Industry association,10 to 14,Very familiar,Familiar,likely,neutral,unlikely,somewhat unlikely,likely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very unlikely,"The age of the house, the likely motivation level of the owners, and the effort required to bring a house of this age/condition to be Step 5-compliant.",aggregation of individual retrofit projects into packages,an education campaign for owners and practitioners on potential savings and best practices,innovative financing mechanisms such as attaching loans to meter savings,high confidence,"IMO, a big part of today's situation is lack of consumer knowledge. Industry and government would be in a much better position to provide retrofit solutions if homeowners demanded high efficiency homes. Without 'bottom-up' demand push, implementation of policies and mandatory regulations will always be met with some resistance."
16,"VS-so,SB-sp, GWH-vp",sb,sp,3,sb3,16sb3,Other,Industry association,10 to 14,Very familiar,Familiar,likely,likely,unlikely,somewhat unlikely,likely,more likely to be demolished and rebuilt,somewhat likely,"Age of the homeowners, and likelihood that new owners will demolish and rebuild, given the very high land value of the property.",no chance,innovative financing mechanisms such as attaching loans to meter savings,other,high confidence,"This type of house is in a 'dead zone' of retrofit potential. Unlike a Vancouver Special, it doesn't have any nostalgic value. In fact, it likely represents an 'unfavoured' era of Vancouver's single family home architecture/design/development. As a result, I find it unlikely that it will be retrofitted/renovated. It is a classic candidate for demo/rebuild."
16,"VS-so,SB-sp, GWH-vp",gwh,vp,1,gwh1,16gwh1,Other,Industry association,10 to 14,Very familiar,Familiar,likely,likely,unlikely,somewhat unlikely,likely,"neither (the building will exist, but will not achieve step code 5 by 2050)",likely,"Vancouver has implemented incentives to retain Character Homes. This house would qualify, so I could see a subsequent homeowner expanding the house and rebuilding the garage into a laneway house, and using the opportunity to complete a full-building energy retrofit.",aggregation of individual retrofit projects into packages,the creation of an integrated public retrofit servicing agency,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,"Unlike Case 2, this house is of an archtype much loved by Vancouverites, and the City has demonstrated its desire to retain them. With the proper package of incentives, including senior government tax credits, utility rebates and City incentives, a moderate-level upgrade would be both achievable and desirable by a future homeowner."
15,"VS-o, SB-so, GWH-p",vs,o,5,vs5,15vs5,Engineering and computer science,0,10 to 14,Very familiar,Familiar,somewhat likely,somewhat likely,somewhat likely,somewhat likely,likely,more likely to retrofit to step code 5,likely,Homeowner interest in sustainability,a public financing scheme such as a provincial 'green bank',aggregation of individual retrofit projects into packages,conventional financing mechanism such as grants or tax abatements,medium confidence,"There are heat pump based solutions that could offer both heating and cooling. The awareness of the impacts of the future climate (anticipated 30% reduction in heating energy demand by 2030s) is in its fledgling state. As long as we have an understanding of the average future climate of the 2050s and design our retrofits from that perspective, that would help."
15,"VS-o, SB-so, GWH-p",sb,so,4,sb4,15sb4,Engineering and computer science,0,10 to 14,Very familiar,Familiar,likely,likely,likely,likely,likely,more likely to retrofit to step code 5,likely,Vancouver's real estate market and CoV focus on Sustainability,a public financing scheme such as a provincial 'green bank',aggregation of individual retrofit projects into packages,an education campaign for owners and practitioners on potential savings and best practices,medium confidence,they might choose to upgrade their windows to higher energy efficiency and lower solar heat gain coeffs (depending on what the model says about overheating). Upgrade to heat pump with cooling as necessary.
15,"VS-o, SB-so, GWH-p",gwh,p,2,gwh2,15gwh2,Engineering and computer science,0,10 to 14,Very familiar,Familiar,neutral,neutral,neutral,neutral,neutral,more likely to be demolished and rebuilt,likely,likely carbon free by 2050 if they reconstruct,a public financing scheme such as a provincial 'green bank',aggregation of individual retrofit projects into packages,an education campaign for owners and practitioners on potential savings and best practices,medium confidence,The building is old and needs enclosure needs key repairs by 2030s. She can sell the lot to a developer and get a MURB built with a brand new energy efficient suite for herself (in an ideal world!).
11,"MP-p, GWH-vo, WC-sp",mp,p,2,mp2,11mp2,Engineering and computer science,0,25 or more,Very familiar,Familiar,very unlikely,very unlikely,very unlikely,very unlikely,very unlikely,more likely to be demolished and rebuilt,very unlikely,The age of the house and the age of the owners as well as their life style. The property could be carbon free only if demolished and new house built on the site is enforced to be carbon free.,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",conventional financing mechanism such as grants or tax abatements,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,no response
11,"MP-p, GWH-vo, WC-sp",gwh,vo,6,gwh6,11gwh6,Engineering and computer science,0,25 or more,Very familiar,Familiar,very unlikely,very unlikely,very unlikely,very unlikely,unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",unlikely,"The family income cannot support an extensive retrofit. They will likely stay in the house (this area has better schools) as they are cautios about childrens education. They will likely do some upgrades, but not sufficient enough to achieve Step 5.","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",conventional financing mechanism such as grants or tax abatements,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,no response
11,"MP-p, GWH-vo, WC-sp",wc,sp,3,wc3,11wc3,Engineering and computer science,0,25 or more,Very familiar,Familiar,likely,very unlikely,very unlikely,very unlikely,unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very likely,Regardless of great family income it is unlikely that significant home building envelope retrofit will be performed. The home is already very efficient and thge only improvment I envision in this home would be adding heat pump domestic water heater (instead of electric resistance heater). Potential energy savings and return of investment for bringing this home to Step 5 would not be atractive even for this family.,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",conventional financing mechanism such as grants or tax abatements,innovative financing mechanisms such as attaching loans to meter savings,high confidence,no response
9,"MP-so, SB-p, WC-o",mp,so,4,mp4,9mp4,Government and public works,0,10 to 14,Very familiar,Neutral,somewhat likely,likely,unlikely,very unlikely,likely,more likely to be demolished and rebuilt,very likely,"1) likelyhood that furnace and boiler will be replaced with heat pumps, and 2) the fact that windows will be replaced between 2030 and 2040","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,no response
9,"MP-so, SB-p, WC-o",sb,p,2,sb2,9sb2,Government and public works,0,10 to 14,Very familiar,Neutral,very likely,neutral,unlikely,very unlikely,likely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very likely,"Hot water is already carbon free. Furnace must be replaced by 2025, most likely with another furnace but possibly with a heat pump. If not, this new furnace will need replacement before 2050 and by then retrofit regulations will require a heat pump.",conventional financing mechanism such as grants or tax abatements,innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,no response
9,"MP-so, SB-p, WC-o",wc,o,5,wc5,9wc5,Government and public works,0,10 to 14,Very familiar,Neutral,very likely,likely,likely,very unlikely,somewhat likely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very likely,it is already all-electric and thus carbon free.,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",high confidence,no response
8,"MP-o, SB-sp, WC-vo",mp,o,5,mp5,8mp5,Government and public works,0,25 or more,Familiar,Familiar,unlikely,very unlikely,very unlikely,very unlikely,unlikely,more likely to be demolished and rebuilt,unlikely,Owners do not upgrade their home for energy efficiency voluntarily,an education campaign for owners and practitioners on potential savings and best practices,innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
8,"MP-o, SB-sp, WC-vo",sb,sp,3,sb3,8sb3,Government and public works,0,25 or more,Familiar,Familiar,likely,neutral,very unlikely,very unlikely,unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",unlikely,The house will be sold and the new owner may do some minor upgrade,an education campaign for owners and practitioners on potential savings and best practices,innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
8,"MP-o, SB-sp, WC-vo",wc,vo,6,wc6,8wc6,Government and public works,0,25 or more,Familiar,Familiar,very likely,likely,neutral,unlikely,likely,"neither (the building will exist, but will not achieve step code 5 by 2050)",neutral,the household characteristic,an education campaign for owners and practitioners on potential savings and best practices,innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
7,"MP-vo, SB-so, GWH-vp",mp,vo,6,mp6,7mp6,Government and public works,0,less than 5,Familiar,Slightly unfamiliar,likely,somewhat likely,somewhat unlikely,very unlikely,unlikely,more likely to be demolished and rebuilt,very unlikely,"Energy Step Code Metrics, Vancouver single family housing market stats, housing renovation trends, information about home owner preference and choices.","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",a public financing scheme such as a provincial 'green bank',"the implementation of a retrofit code for energy, emissions, and safety upgrades",low confidence,no response
7,"MP-vo, SB-so, GWH-vp",sb,so,4,sb4,7sb4,Government and public works,0,less than 5,Familiar,Slightly unfamiliar,likely,somewhat likely,neutral,unlikely,neutral,more likely to retrofit to step code 5,likely,"Vancouver single family housing market, Energy Step Code Metrics, Renovation statistics","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",aggregation of individual retrofit projects into packages,"the implementation of a retrofit code for energy, emissions, and safety upgrades",low confidence,no response
7,"MP-vo, SB-so, GWH-vp",gwh,vp,1,gwh1,7gwh1,Government and public works,0,less than 5,Familiar,Slightly unfamiliar,somewhat likely,somewhat likely,unlikely,very unlikely,somewhat unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",somewhat unlikely,"Heritage home guidelines in Vancouver, energy step code metrics, single family housing market trends",aggregation of individual retrofit projects into packages,an education campaign for owners and practitioners on potential savings and best practices,"the implementation of a retrofit code for energy, emissions, and safety upgrades",low confidence,no response
5,"VS-p, SB-vo, GWH-sp",vs,p,2,vs2,5vs2,Engineering and computer science,0,10 to 14,Very familiar,Slightly familiar,likely,somewhat unlikely,very unlikely,very unlikely,very unlikely,more likely to be demolished and rebuilt,neutral,"uncertainty in how long the current owners plan to live in the home as-is, and at what point it is sold as a tear-down and a home built to applicable high performance standards at that time.",an education campaign for owners and practitioners on potential savings and best practices,conventional financing mechanism such as grants or tax abatements,innovative financing mechanisms such as attaching loans to meter savings,high confidence,"Energy is cheap, retrofitting a building envelope is not. A robust building envelope retrofit is required, as well as adding heat recovery to ventilation. This would be very expensive and not financially attractive in terms of payback on investment. I don't see a way to force people to make such large renovations to their homes unless it is heavily subsidized, and even then people may not do it unless it will overall save them money, or even if it did, simply because they don't know about these things and are hesitant to pursue such a big and disruptive renovation. Not to mention the risks of discovering other costs for upgrades once the retrofit starts.

I think it's far more likely that the property would achieve high performance through being torn down and rebuilt, at which time it would be subject to high performance standards. This seems more likely to me due to the land value."
5,"VS-p, SB-vo, GWH-sp",sb,vo,6,sb6,5sb6,Engineering and computer science,0,10 to 14,Very familiar,Slightly familiar,likely,very unlikely,very unlikely,very unlikely,somewhat unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very unlikely,"Achieving Step 3 or greater would require improved air tightness and most importantly, central ventilation through an HRV. Adding HRV ducting to an existing home seems unlikely to me. In addition, the home would require major updates to the building envelope thermal performance as well as air tightness. I don't believe these are likely to happen due to the cost",conventional financing mechanism such as grants or tax abatements,innovative financing mechanisms such as attaching loans to meter savings,other,high confidence,"Again, it comes down to the fact that to achieve high performance, major renovations would be required. At some point it is easier and more cost effective to replace the home entirely, which seems more likely with the land prices in Vancouver, particularly if this home on a large lot is replaced with a duplex or other more dense housing."
5,"VS-p, SB-vo, GWH-sp",gwh,sp,3,gwh3,5gwh3,Engineering and computer science,0,10 to 14,Very familiar,Slightly familiar,somewhat unlikely,very unlikely,very unlikely,very unlikely,very unlikely,more likely to be demolished and rebuilt,neutral,Wondering what value is placed on the heritage of this vintage of home. It may lead to someone deciding to do a deep retrofit rather than tear down and rebuild.,an education campaign for owners and practitioners on potential savings and best practices,conventional financing mechanism such as grants or tax abatements,innovative financing mechanisms such as attaching loans to meter savings,medium confidence,no response
4,"VS-sp, MP-vp, GWH-so",vs,sp,3,vs3,4vs3,Government and public works,0,25 or more,Very familiar,Very familiar,very unlikely,very unlikely,very unlikely,very unlikely,somewhat unlikely,more likely to be demolished and rebuilt,very likely,"electrification, and perhaps rebuilt",a public financing scheme such as a provincial 'green bank',aggregation of individual retrofit projects into packages,incentivise retofits with suite/adu densification,medium confidence,"It's important to consider economic viability and social equity in developing related policies or incentives.


Repeated from input above:
Economic incentives through allowing additional living space/suite when retrofitted to Step 5.There's opportunity for co-benefits with improving seismic resilience and housing affordability. Allowing two or more adjacent buildings to be retrofitted into a rowhouse strata, adding ""infill units"" in between the original houses i.e. turning side yards into small homes.We'll then only need to ""upgrade"" the exterior walls along the front and back of the buildings and extend them to close off the sideyards.There would not be a need to upgrade the side walls between the existing buildings. The additional small homes created will be an economic incentive to make the Step 5 retrofits viable."
4,"VS-sp, MP-vp, GWH-so",mp,vp,1,mp1,4mp1,Government and public works,0,25 or more,Very familiar,Very familiar,very unlikely,very unlikely,very unlikely,very unlikely,somewhat unlikely,more likely to be demolished and rebuilt,very likely,"electrification, and likely new construction",a public financing scheme such as a provincial 'green bank',aggregation of individual retrofit projects into packages,incentivise retofits with suite/adu densification,medium confidence,"It's important to consider economic viability and social equity in developing related policies or incentives.


Repeated from input above:
Economic incentives through allowing additional living space/suite when retrofitted to Step 5.There's opportunity for co-benefits with improving seismic resilience and housing affordability. Allowing two or more adjacent buildings to be retrofitted into a rowhouse strata, adding ""infill units"" in between the original houses i.e. turning side yards into small homes.We'll then only need to ""upgrade"" the exterior walls along the front and back of the buildings and extend them to close off the sideyards.There would not be a need to upgrade the side walls between the existing buildings. The additional small homes created will be an economic incentive to make the Step 5 retrofits viable."
4,"VS-sp, MP-vp, GWH-so",gwh,so,4,gwh4,4gwh4,Government and public works,0,25 or more,Very familiar,Very familiar,unlikely,somewhat unlikely,very unlikely,very unlikely,somewhat likely,"neither (the building will exist, but will not achieve step code 5 by 2050)",very likely,"electrification, with upgrade to building envelop, windows and mechanical systems; also considering home character and size for a relatively small lot.","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",a public financing scheme such as a provincial 'green bank',aggregation of individual retrofit projects into packages,high confidence,"Despite the possible high motivation of these homeowners to improve the environmental performance of their home, it's still very important to consider economic viability and social equity in developing related policies or incentives."
2,"VS-o, MP-sp, GWH-vo",vs,o,5,vs5,2vs5,Government and public works,0,5 to 9,Very familiar,Slightly familiar,likely,neutral,neutral,unlikely,neutral,more likely to be demolished and rebuilt,likely,"Bias - I expect policy to mandate heat pumps by 2035, so decarbonize via fuel switch, not energy efficiency","an energy disclosure mandate with a benchmarking, audit, and labeling protocol",the creation of an integrated public retrofit servicing agency,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
2,"VS-o, MP-sp, GWH-vo",mp,sp,3,mp3,2mp3,Government and public works,0,5 to 9,Very familiar,Slightly familiar,neutral,unlikely,somewhat unlikely,very unlikely,unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",likely,See previous comment about heat pumps,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",the creation of an integrated public retrofit servicing agency,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
2,"VS-o, MP-sp, GWH-vo",gwh,vo,6,gwh6,2gwh6,Government and public works,0,5 to 9,Very familiar,Slightly familiar,likely,neutral,unlikely,unlikely,neutral,more likely to retrofit to step code 5,likely,See previous,"an energy disclosure mandate with a benchmarking, audit, and labeling protocol",the creation of an integrated public retrofit servicing agency,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
2,"VS-o, MP-sp, GWH-vo",vs,o,5,vs5,2vs5,Government and public works,0,5 to 9,Very familiar,Familiar,neutral,very unlikely,very unlikely,very unlikely,neutral,more likely to be demolished and rebuilt,neutral,"I assume the house would be torn down and re-built within 5-7 years due to age of building/system and occupants (father likely passed away, son likely moved out). Under existing/anticipated policy within this timeframe, gas heating is still allowed, and fossil gas has artificially low rates due to subsidization of the industry. Therefore, with higher costs of heat pumps, there is no major driver to go zero carbon at this time. On the other hand, as the family is environmentally minded they may choose this direction.","an energy disclosure mandate with a benchmarking, audit, and labeling protocol","the implementation of a retrofit code for energy, emissions, and safety upgrades","the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,Incentives are fine as supporting mechanisms but ultimately we need clear regulation to get off fossil fuels. Also there is often conflation of energy efficiency with GHG reduction. Energy efficiency alone is not enough to reduce CO2 in line with CoV's new climate commitments.
2,"VS-o, MP-sp, GWH-vo",mp,sp,3,mp3,2mp3,Government and public works,0,5 to 9,Very familiar,Familiar,somewhat unlikely,very unlikely,very unlikely,very unlikely,very unlikely,more likely to be demolished and rebuilt,neutral,"Seems unlikely this family will live in the same house for 30 years, and/or significantly invest in upgrades, therefore demolish/rebuild either under their ownership or another seems likely. Whether or not it is carbon neutral depends mostly on when it rebuilds and what the city policy is at that time.",an education campaign for owners and practitioners on potential savings and best practices,the creation of an integrated public retrofit servicing agency,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
2,"VS-o, MP-sp, GWH-vo",gwh,vo,6,gwh6,2gwh6,Government and public works,0,5 to 9,Very familiar,Familiar,likely,neutral,somewhat unlikely,very unlikely,likely,"neither (the building will exist, but will not achieve step code 5 by 2050)",somewhat likely,"The building has a high aesthetic and heritage value. It is already heated primarily with electricity, and would be a good candidate for and air source heat pump retrofit.",an education campaign for owners and practitioners on potential savings and best practices,the creation of an integrated public retrofit servicing agency,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
1,"VS-vo, MP-so, SB-vp",vs,vo,6,vs6,1vs6,Engineering and computer science,0,10 to 14,Slightly familiar,Slightly familiar,likely,neutral,unlikely,somewhat unlikely,likely,more likely to be demolished and rebuilt,neutral,"if the couple has undertaken retrofits in the past and is conscientious about their environmental impact, they will likely undertake future retrofits. Plus, if the couple downsizes and sells the house, it will likely be torn down, given its age.",a public financing scheme such as a provincial 'green bank',the creation of an integrated public retrofit servicing agency,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
1,"VS-vo, MP-so, SB-vp",mp,so,4,mp4,1mp4,Engineering and computer science,0,10 to 14,Slightly familiar,Slightly familiar,unlikely,somewhat unlikely,very unlikely,very unlikely,somewhat unlikely,"neither (the building will exist, but will not achieve step code 5 by 2050)",neutral,"The family likely won't be able to finance a major retrofit, and sounds like they may be there for the long term. Achieving Step 5 would require a major building renovation including envelop, which is a very expensive investment that doesn't see a payback.",a public financing scheme such as a provincial 'green bank',innovative financing mechanisms such as attaching loans to meter savings,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,no response
1,"VS-vo, MP-so, SB-vp",sb,vp,1,sb1,1sb1,Engineering and computer science,0,10 to 14,Slightly familiar,Slightly familiar,somewhat likely,likely,neutral,neutral,likely,more likely to be demolished and rebuilt,likely,"If the couple downsizes after the kids move out in the next 10 years, the house will likely be rebuilt (since it's in Shaughnessy, the added cost of rebuilding would be relatively small compared to the price of the property). If regulations require high efficiency new builds, the house could achieve high levels on the Step Code.",conventional financing mechanism such as grants or tax abatements,the creation of an integrated public retrofit servicing agency,"the implementation of a retrofit code for energy, emissions, and safety upgrades",medium confidence,"Like most existing buildings, the cost of retrofitting the building to achieve Step 5 would probably be better spent rebuilding the house with passive features incorporated. You can't retrofit the shape of a house to optimize window placement to catch light and wind. If Part 9 Code requires ""passive ready"" design, it's more likely a house will be carbon neutral by 2050."
