variable,code,text,numeric,note,,,,,
archetype,archetype,MP,1,,,,,,
archetype,archetype,SB,2,,,,,,
archetype,archetype,WC,3,,,,,,
archetype,archetype,VS,4,,,,,,
archetype,archetype,GWH,5,,,,,,
optimism,optimism,very optimistic,6,,,,,,
optimism,optimism,optimistic,5,,,,,,
optimism,optimism,somewhat optimistic,4,,,,,,
optimism,optimism,somewhat pessimistic,3,,,,,,
optimism,optimism,pessimistic,2,,,,,,
optimism,optimism,very pessimistic,1,,,,,,
age owner,narr_age,25-34,1,,,,,,
age owner,narr_age,35-44,2,,,,,,
age owner,narr_age,45-54,3,,,,,,
age owner,narr_age,55-64,4,,,,,,
age owner,narr_age,65-74,5,,,,,,
age owner,narr_age,75-84,6,,,,,,
family type,narr_family_type,couple,1,,,,,,
family type,narr_family_type,couple+kids,2,,,,,,
family type,narr_family_type,couple+kids+other,3,,,,,,
family type,narr_family_type,single,4,,,,,,
family type,narr_family_type,single+kids,5,,,,,,
duration of stay,narr_duration,0-7,1,,,,,,
duration of stay,narr_duration,8-14,2,,,,,,
duration of stay,narr_duration,15-21,3,,,,,,
duration of stay,narr_duration,22-28,4,,,,,,
duration of stay,narr_duration,>=29,5,,,,,,
spending habits,narr_spending,frugal,1,,,,,,
spending habits,narr_spending,thrifty,2,,,,,,
spending habits,narr_spending,generous,3,,,,,,
mortgage percent on income,narr_mortgage_percent,0-8,1,,,,,,
mortgage percent on income,narr_mortgage_percent,9-16,2,,,,,,
mortgage percent on income,narr_mortgage_percent,17-24,3,,,,,,
mortgage percent on income,narr_mortgage_percent,25-32,4,,,,,,
mortgage percent on income,narr_mortgage_percent,>=33,5,,,,,,
environmental views,narr_env,none,1,,,,,,
environmental views,narr_env,some,2,,,,,,
environmental views,narr_env,intense,3,,,,,,
income levels,narr_income,below average,1,,,,,,
income levels,narr_income,average,2,,,,,,
income levels,narr_income,above average,3,,,,,,
income levels,narr_income,retired,4,,,,,,
credit rating,narr_credit,good,1,,,,,,
credit rating,narr_credit,fair,2,,,,,,
credit rating,narr_credit,excellent,3,,,,,,
credit rating,narr_credit,none mentioned,9,,,,,,
house gross floor area,prm_house_sqft,2100,1,,,,,,
house gross floor area,prm_house_sqft,2600,2,,,,,,
house gross floor area,prm_house_sqft,2800,3,,,,,,
house gross floor area,prm_house_sqft,3000,4,,,,,,
house gross floor area,prm_house_sqft,5400,5,,,,,,
house lot size,prm_lot_sqft,3135,1,,,,,,
house lot size,prm_lot_sqft,4000,2,,,,,,
house lot size,prm_lot_sqft,8400,3,,,,,,
age of house,prm_house_age,108,1,,,,,,
age of house,prm_house_age,67,2,,,,,,
age of house,prm_house_age,44,3,,,,,,
age of house,prm_house_age,28,4,,,,,,
age of house,prm_house_age,1,5,,,,,,
step code,prm_step,below 1,0,,,,,,
step code,prm_step,1,1,,,,,,
step code,prm_step,2,2,,,,,,
rentable suite present,prm_suite,no,0,,,,,,
rentable suite present,prm_suite,yes,1,,,,,,
plans for renovation,prm_reno_plan,no,0,,,,,,
plans for renovation,prm_reno_plan,yes,1,,,,,,
wall construction,prm_wall_type,2x4 batt R13,1,,,,,,
wall construction,prm_wall_type,2x6 ext R21,2,,,,,,
wall age,prm_wall_age,0-5,1,,,,,,
wall age,prm_wall_age,6-10,2,,,,,,
wall age,prm_wall_age,11-15,3,,,,,,
wall age,prm_wall_age,16-24,4,,,,,,
wall age,prm_wall_age,>=25,5,,,,,,
roof construction,prm_roof_type,blown R15,1,,,,,,
roof construction,prm_roof_type,flat ext R36,2,,,,,,
roof age,prm_roof_age,0-5,1,,,,,,
roof age,prm_roof_age,6-10,2,,,,,,
roof age,prm_roof_age,11-15,3,,,,,,
roof age,prm_roof_age,16-24,4,,,,,,
roof age,prm_roof_age,>=25,5,,,,,,
window type,prm_window_type,double 0.25,1,,,,,,
window type,prm_window_type,double 0.48,1,,,,,,
window type,prm_window_type,single 0.48,2,,,,,,
window age,prm_window_age,0-5,1,,,,,,
window age,prm_window_age,6-10,2,,,,,,
window age,prm_window_age,11-15,3,,,,,,
window age,prm_window_age,16-24,4,,,,,,
window age,prm_window_age,>=25,5,,,,,,
space cooling type,prm_cool_eff,none,0,,,,,,
space cooling type,prm_cool_eff,2.7,1,,,,,,
space cooling age,prm_cool_age,none,0,,,,,,
space cooling age,prm_cool_age,1,1,,,,,,
space cooling fuel,prm_cool_fuel,electric,2,,,,,,
space cooling fuel,prm_cool_fuel,none,0,,,,,,
space heating efficiency,prm_heat_eff,0.75,1,,,,,,
space heating efficiency,prm_heat_eff,0.85,2,,,,,,
space heating efficiency,prm_heat_eff,2.7,3,,,,,,
space heating age,prm_heat_age,0-5,1,,,,,,
space heating age,prm_heat_age,6-10,2,,,,,,
space heating age,prm_heat_age,11-15,3,,,,,,
space heating age,prm_heat_age,16-24,4,,,,,,
space heating age,prm_heat_age,>=25,5,,,,,,
space heating fuel,prm_heat_fuel,ng,1,,,,,,
space heating fuel,prm_heat_fuel,electric,2,,,,,,
space heating fuel,prm_heat_fuel,ng/electric,3,,,,,,
space heating fuel,prm_heat_fuel,none,0,,,,,,
dhw efficiency,prm_dhw_eff,0.75,1,,,,,,
dhw efficiency,prm_dhw_eff,0.85,2,,,,,,
dhw efficiency,prm_dhw_eff,0.95,3,,,,,,
dhw age,prm_dhw_age,0-5,1,,,,,,
dhw age,prm_dhw_age,6-10,2,,,,,,
dhw age,prm_dhw_age,11-15,3,,,,,,
dhw age,prm_dhw_age,16-24,4,,,,,,
dhw age,prm_dhw_age,>=25,5,,,,,,
dhw fuel,prm_dhw_fuel,ng,1,,,,,,
dhw fuel,prm_dhw_fuel,electric,2,,,,,,
dhw fuel,prm_dhw_fuel,ng/electric,3,,,,,,
dhw fuel,prm_dhw_fuel,none,0,,,,,,
airtightness,prm_leakage,very leaky,1,,,,,,
airtightness,prm_leakage,leaky,2,,,,,,
airtightness,prm_leakage,middle,3,,,,,,
airtightness,prm_leakage,tight,4,,,,,,
maintenance level,prm_maintenance,never,1,,,,,,
maintenance level,prm_maintenance,poor,2,,,,,,
maintenance level,prm_maintenance,average,3,,,,,,
maintenance level,prm_maintenance,well maintained,4,,,,,,
maintenance level,prm_maintenance,very well,5,,,,,,
asbestos present,prm_asbestos,no,0,,,,,,
asbestos present,prm_asbestos,yes,1,,,,,,
